slot_id,day,start_time,end_time
1,Monday,09:00,10:00
2,Monday,10:00,11:00
3,Monday,11:00,12:00
4,Monday,12:00,13:00
5,Monday,13:00,14:00
6,Monday,14:00,15:00
7,Monday,15:00,16:00
8,Monday,16:00,17:00
9,Tuesday,09:00,10:00
10,Tuesday,10:00,11:00
11,Tuesday,11:00,12:00
12,Tuesday,12:00,13:00
13,Tuesday,13:00,14:00
14,Tuesday,14:00,15:00
15,Tuesday,15:00,16:00
16,Tuesday,16:00,17:00
17,Wednesday,09:00,10:00
18,Wednesday,10:00,11:00
19,Wednesday,11:00,12:00
20,Wednesday,12:00,13:00
21,Wednesday,13:00,14:00
22,Wednesday,14:00,15:00
23,Wednesday,15:00,16:00
24,Wednesday,16:00,17:00
25,Thursday,09:00,10:00
26,Thursday,10:00,11:00
27,Thursday,11:00,12:00
28,Thursday,12:00,13:00
29,Thursday,13:00,14:00
30,Thursday,14:00,15:00
31,Thursday,15:00,16:00
32,Thursday,16:00,17:00
33,Friday,09:00,10:00
34,Friday,10:00,11:00
35,Friday,11:00,12:00
36,Friday,12:00,13:00
37,Friday,13:00,14:00
38,Friday,14:00,15:00
39,Friday,15:00,16:00
40,Friday,16:00,17:00
41,Saturday,09:00,10:00
42,Saturday,10:00,11:00
43,Saturday,11:00,12:00
44,Saturday,12:00,13:00
45,Saturday,13:00,14:00
46,Saturday,14:00,15:00
47,Saturday,15:00,16:00
48,Saturday,16:00,17:00
